# TypeScript no-regression baseline
# Format: <count>	<normalized diagnostic key>
# Key: <file> :: <TS code> :: <message> (line/column stripped)
1	query/stopHooks.ts :: TS2367 :: This comparison appears to be unintentional because the types '"hook_result"' and '"attachment"' have no overlap.
3	query/stopHooks.ts :: TS2367 :: This comparison appears to be unintentional because the types '"hook_result"' and '"progress"' have no overlap.
1	QueryEngine.ts :: TS2322 :: Type 'unknown' is not assignable to type 'string'.
1	QueryEngine.ts :: TS2339 :: Property 'data' does not exist on type 'unknown'.
2	QueryEngine.ts :: TS2339 :: Property 'delta' does not exist on type 'unknown'.
1	QueryEngine.ts :: TS2339 :: Property 'maxTurns' does not exist on type 'unknown'.
1	QueryEngine.ts :: TS2339 :: Property 'message' does not exist on type 'unknown'.
1	QueryEngine.ts :: TS2339 :: Property 'preservedSegment' does not exist on type 'unknown'.
1	QueryEngine.ts :: TS2339 :: Property 'prompt' does not exist on type 'unknown'.
1	QueryEngine.ts :: TS2339 :: Property 'source_uuid' does not exist on type 'unknown'.
1	QueryEngine.ts :: TS2339 :: Property 'status' does not exist on type 'unknown'.
1	QueryEngine.ts :: TS2339 :: Property 'turnCount' does not exist on type 'unknown'.
6	QueryEngine.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
1	QueryEngine.ts :: TS2339 :: Property 'usage' does not exist on type 'unknown'.
1	QueryEngine.ts :: TS2345 :: Argument of type '{ snipReplay?: (yielded: Message, store: Message[]) => { messages: Message[]; tokensFreed: number; boundaryMessage?: Message; }; cwd: string; tools: Tools; commands: Command[]; ... 22 more ...; orphanedPermission: OrphanedPermission; }' is not assignable to parameter of type 'QueryEngineConfig'.
2	QueryEngine.ts :: TS2345 :: Argument of type 'string' is not assignable to parameter of type '`${string}-${string}-${string}-${string}-${string}`'.
1	QueryEngine.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'APIError<number, Headers, Object>'.
2	QueryEngine.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'CompactMetadata'.
1	QueryEngine.ts :: TS2352 :: Conversion of type '{ type: "system"; subtype: "compact_boundary"; session_id: SessionId; uuid: string; compact_metadata: unknown; }' to type 'SDKCompactBoundaryMessage' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.
1	QueryEngine.ts :: TS2352 :: Conversion of type '{ type: "user"; message: { content: string; role?: string; }; session_id: SessionId; parent_tool_use_id: null; uuid: string; timestamp: string | number; isReplay: boolean; isSynthetic: unknown; }' to type 'SDKUserMessageReplay' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.
1	QueryEngine.ts :: TS2352 :: Conversion of type '{ type: "user"; message: { role: "user"; content: any; }; session_id: SessionId; parent_tool_use_id: null; uuid: any; timestamp: string | number; isReplay: boolean; }' to type 'SDKUserMessageReplay' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.
1	QueryEngine.ts :: TS2352 :: Conversion of type '{ type: "user"; message: MessagePayload & { role?: "user" | string; }; session_id: SessionId; parent_tool_use_id: null; uuid: string; timestamp: string | number; isReplay: boolean; }' to type 'SDKUserMessageReplay' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.
1	QueryEngine.ts :: TS2550 :: Property 'findLast' does not exist on type 'Message[]'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2023' or later.
1	QueryEngine.ts :: TS2550 :: Property 'findLastIndex' does not exist on type 'Message[]'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2023' or later.
1	QueryEngine.ts :: TS2678 :: Type '"stream_request_start"' is not comparable to type '"user" | "assistant" | "system" | "stream_event" | "tool_use_summary" | "progress" | "attachment" | "hook_result" | "tombstone" | "grouped_tool_use" | "collapsed_read_search_group" | "request_start"'.
1	remote/remotePermissionBridge.ts :: TS2339 :: Property 'input' does not exist on type 'unknown'.
1	remote/remotePermissionBridge.ts :: TS2339 :: Property 'tool_name' does not exist on type 'unknown'.
1	remote/remotePermissionBridge.ts :: TS2339 :: Property 'tool_use_id' does not exist on type 'unknown'.
2	remote/RemoteSessionManager.ts :: TS2339 :: Property 'request_id' does not exist on type '{}'.
1	remote/RemoteSessionManager.ts :: TS2339 :: Property 'request' does not exist on type '{}'.
1	remote/RemoteSessionManager.ts :: TS2339 :: Property 'tool_use_id' does not exist on type 'unknown'.
6	remote/RemoteSessionManager.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
1	remote/sdkMessageAdapter.ts :: TS2322 :: Type '{ [key: string]: unknown; role?: string; content?: string | SDKContentBlock[]; }' is not assignable to type 'MessagePayload & { role?: string; }'.
1	remote/sdkMessageAdapter.ts :: TS2322 :: Type '{ type: "stream_event"; event: unknown; }' is not assignable to type 'StreamEvent'.
1	remote/sdkMessageAdapter.ts :: TS2322 :: Type '{ type: "system"; subtype: string; content: any; level: string; uuid: string; timestamp: string; }' is not assignable to type 'SystemMessage'.
2	remote/sdkMessageAdapter.ts :: TS2322 :: Type '{ type: "system"; subtype: string; content: string; level: string; uuid: string; timestamp: string; }' is not assignable to type 'SystemMessage'.
1	remote/sdkMessageAdapter.ts :: TS2322 :: Type '{ type: "system"; subtype: string; content: string; level: string; uuid: string; timestamp: string; compactMetadata: CompactMetadata; }' is not assignable to type 'SystemMessage'.
1	remote/sdkMessageAdapter.ts :: TS2322 :: Type '{ type: "system"; subtype: string; content: string; level: string; uuid: string; timestamp: string; toolUseID: unknown; }' is not assignable to type 'SystemMessage'.
1	remote/sdkMessageAdapter.ts :: TS2322 :: Type 'SDKContentBlock[]' is not assignable to type 'string | ContentBlockParam[]'.
1	remote/sdkMessageAdapter.ts :: TS2322 :: Type 'string | SDKContentBlock[]' is not assignable to type 'string | ContentBlockParam[]'.
3	remote/sdkMessageAdapter.ts :: TS2322 :: Type 'unknown' is not assignable to type 'string'.
1	remote/sdkMessageAdapter.ts :: TS2339 :: Property 'join' does not exist on type 'unknown'.
1	remote/sdkMessageAdapter.ts :: TS2345 :: Argument of type 'SDKMessageBase' is not assignable to parameter of type 'SDKAssistantMessage'.
1	remote/sdkMessageAdapter.ts :: TS2345 :: Argument of type 'SDKMessageBase' is not assignable to parameter of type 'SDKCompactBoundaryMessage'.
1	remote/sdkMessageAdapter.ts :: TS2345 :: Argument of type 'SDKMessageBase' is not assignable to parameter of type 'SDKPartialAssistantMessage'.
1	remote/sdkMessageAdapter.ts :: TS2345 :: Argument of type 'SDKMessageBase' is not assignable to parameter of type 'SDKResultMessage'.
1	remote/sdkMessageAdapter.ts :: TS2345 :: Argument of type 'SDKMessageBase' is not assignable to parameter of type 'SDKStatusMessage'.
1	remote/sdkMessageAdapter.ts :: TS2345 :: Argument of type 'SDKMessageBase' is not assignable to parameter of type 'SDKSystemMessage'.
1	remote/sdkMessageAdapter.ts :: TS2345 :: Argument of type 'SDKMessageBase' is not assignable to parameter of type 'SDKToolProgressMessage'.
1	remote/SessionsWebSocket.ts :: TS2339 :: Property 'subtype' does not exist on type 'unknown'.
1	remote/SessionsWebSocket.ts :: TS2339 :: Property 'type' does not exist on type 'never'.
1	screens/REPL.tsx :: TS2304 :: Cannot find name 'fireCompanionObserver'.
1	screens/REPL.tsx :: TS2304 :: Cannot find name 'launchUltraplan'.
1	screens/REPL.tsx :: TS2304 :: Cannot find name 'UltraplanChoiceDialog'.
1	screens/REPL.tsx :: TS2304 :: Cannot find name 'UltraplanLaunchDialog'.
1	screens/REPL.tsx :: TS2315 :: Type 'ProgressMessage' is not generic.
1	screens/REPL.tsx :: TS2322 :: Type '"from"' is not assignable to type 'PartialCompactDirection'.
1	screens/REPL.tsx :: TS2322 :: Type '{ mode: any; spinnerTip: any; responseLengthRef: any; apiMetricsRef: any; overrideMessage: any; spinnerSuffix: any; verbose: any; loadingStartTimeRef: any; totalPausedMsRef: any; pauseStartTimeRef: any; overrideColor: any; overrideShimmerColor: any; hasActiveTools: boolean; leaderIsIdle: boolean; }' is not assignable to type 'Props'.
1	screens/REPL.tsx :: TS2322 :: Type 'MessageContentBlock[]' is not assignable to type 'ImageBlockParam[]'.
1	screens/REPL.tsx :: TS2339 :: Property 'attachment' does not exist on type 'unknown'.
3	screens/REPL.tsx :: TS2339 :: Property 'content' does not exist on type 'unknown'.
1	screens/REPL.tsx :: TS2339 :: Property 'id' does not exist on type 'unknown'.
1	screens/REPL.tsx :: TS2339 :: Property 'mediaType' does not exist on type 'unknown'.
2	screens/REPL.tsx :: TS2339 :: Property 'prompt' does not exist on type 'unknown'.
6	screens/REPL.tsx :: TS2339 :: Property 'type' does not exist on type 'unknown'.
1	screens/REPL.tsx :: TS2345 :: Argument of type '{ [taskId: string]: TaskState; }' is not assignable to parameter of type 'Record<string, TaskStateBase>'.
2	screens/REPL.tsx :: TS2345 :: Argument of type 'string | MessageContentBlock[]' is not assignable to parameter of type 'string | readonly ({ readonly text: string; readonly type: "text"; readonly cache_control?: { readonly type: "ephemeral"; readonly ttl?: "5m" | "1h"; }; readonly citations?: readonly ({ readonly cited_text: string; ... 4 more ...; readonly type: "char_location"; } | { ...; } | { ...; } | { ...; } | { ...; })[]; } | ...'.
3	screens/REPL.tsx :: TS2345 :: Argument of type 'string' is not assignable to parameter of type '`${string}-${string}-${string}-${string}-${string}`'.
1	screens/REPL.tsx :: TS2353 :: Object literal may only specify known properties, and 'theme' does not exist in type 'TipContext'.
22	screens/REPL.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
2	screens/REPL.tsx :: TS2367 :: This comparison appears to be unintentional because the types 'PartialCompactDirection' and '"from"' have no overlap.
1	screens/REPL.tsx :: TS2367 :: This comparison appears to be unintentional because the types 'PartialCompactDirection' and '"up_to"' have no overlap.
1	screens/REPL.tsx :: TS2554 :: Expected 0 arguments, but got 1.
1	screens/REPL.tsx :: TS2719 :: Type '{ readonly mode: import("/usr/local/develop/open-source/claude-code/types/permissions").InternalPermissionMode; readonly additionalWorkingDirectories: { readonly forEach: (callbackfn: (value: { readonly path: string; readonly source: import("/usr/local/develop/open-source/claude-code/types/permissions").PermissionRu...' is not assignable to type '{ readonly mode: import("/usr/local/develop/open-source/claude-code/types/permissions").InternalPermissionMode; readonly additionalWorkingDirectories: { readonly forEach: (callbackfn: (value: { readonly path: string; readonly source: import("/usr/local/develop/open-source/claude-code/types/permissions").PermissionRu...'. Two different types with this name exist, but they are unrelated.
2	screens/ResumeConversation.tsx :: TS2339 :: Property 'command' does not exist on type '{ isCrossProject: true; isSameRepoWorktree: true; projectPath: string; } | { isCrossProject: true; isSameRepoWorktree: false; command: string; projectPath: string; }'.
1	scripts/bootstrap.ts :: TS5097 :: An import path can only end with a '.ts' extension when 'allowImportingTsExtensions' is enabled.
1	scripts/build-full-local.ts :: TS5097 :: An import path can only end with a '.ts' extension when 'allowImportingTsExtensions' is enabled.
1	scripts/build-local.ts :: TS5097 :: An import path can only end with a '.ts' extension when 'allowImportingTsExtensions' is enabled.
1	scripts/cli-build.ts :: TS5097 :: An import path can only end with a '.ts' extension when 'allowImportingTsExtensions' is enabled.
1	scripts/cli-check.ts :: TS5097 :: An import path can only end with a '.ts' extension when 'allowImportingTsExtensions' is enabled.
1	scripts/cli-run.ts :: TS5097 :: An import path can only end with a '.ts' extension when 'allowImportingTsExtensions' is enabled.
1	scripts/cli-status.ts :: TS5097 :: An import path can only end with a '.ts' extension when 'allowImportingTsExtensions' is enabled.
1	scripts/debug-inspector.ts :: TS5097 :: An import path can only end with a '.ts' extension when 'allowImportingTsExtensions' is enabled.
1	scripts/verify-bootstrap.ts :: TS5097 :: An import path can only end with a '.ts' extension when 'allowImportingTsExtensions' is enabled.
1	scripts/verify-startup.ts :: TS5097 :: An import path can only end with a '.ts' extension when 'allowImportingTsExtensions' is enabled.
1	scripts/verify.ts :: TS5097 :: An import path can only end with a '.ts' extension when 'allowImportingTsExtensions' is enabled.
2	server/directConnectManager.ts :: TS2339 :: Property 'request_id' does not exist on type 'unknown'.
4	server/directConnectManager.ts :: TS2339 :: Property 'request' does not exist on type 'unknown'.
1	server/directConnectManager.ts :: TS2339 :: Property 'subtype' does not exist on type 'unknown'.
7	server/directConnectManager.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
1	server/directConnectManager.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'SDKMessageBase'.
1	services/AgentSummary/agentSummary.ts :: TS2339 :: Property 'find' does not exist on type 'string | MessageContentBlock[]'.
1	services/analytics/firstPartyEventLoggingExporter.ts :: TS2352 :: Conversion of type 'string | number | boolean | AnyValueMap | Uint8Array<ArrayBufferLike> | AnyValueArray' to type 'EventMetadata' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.
1	services/api/claude.ts :: TS2305 :: Module '"@anthropic-ai/sdk/resources/beta/messages/messages.mjs"' has no exported member 'BetaJSONOutputFormat'.
1	services/api/claude.ts :: TS2305 :: Module '"@anthropic-ai/sdk/resources/beta/messages/messages.mjs"' has no exported member 'BetaOutputConfig'.
1	services/api/claude.ts :: TS2322 :: Type '"adaptive"' is not assignable to type '"enabled" | "disabled"'.
2	services/api/claude.ts :: TS2322 :: Type '{ cache_control?: { type: "ephemeral"; ttl?: "1h"; scope?: CacheScope; }; type: string; text?: string; }[]' is not assignable to type 'string | BetaContentBlockParam[]'.
1	services/api/claude.ts :: TS2322 :: Type '{ ttftMs: number; type: "stream_event"; event: BetaRawMessageStreamEvent; }' is not assignable to type 'AssistantMessage | StreamEvent | SystemAPIErrorMessage'.
1	services/api/claude.ts :: TS2322 :: Type '{ type: "adaptive"; }' is not assignable to type 'BetaThinkingConfigParam'.
3	services/api/claude.ts :: TS2322 :: Type 'BetaContentBlock[]' is not assignable to type 'string | MessageContentBlock[]'.
2	services/api/claude.ts :: TS2322 :: Type 'string | MessageContentBlock[]' is not assignable to type 'string | BetaContentBlockParam[]'.
2	services/api/claude.ts :: TS2322 :: Type 'string' is not assignable to type 'SDKAssistantMessageError'.
1	services/api/claude.ts :: TS2322 :: Type 'unknown' is not assignable to type 'BetaStopReason'.
2	services/api/claude.ts :: TS2322 :: Type 'unknown' is not assignable to type 'string'.
1	services/api/claude.ts :: TS2339 :: Property 'CACHE_EDITING_BETA_HEADER' does not exist on type 'typeof import("/usr/local/develop/open-source/claude-code/constants/betas")'.
1	services/api/claude.ts :: TS2339 :: Property 'iterations' does not exist on type 'BetaMessageDeltaUsage'.
1	services/api/claude.ts :: TS2339 :: Property 'speed' does not exist on type 'BetaUsage'.
1	services/api/claude.ts :: TS2339 :: Property 'speed' does not exist on type 'MessageCreateParamsBase'.
2	services/api/claude.ts :: TS2345 :: Argument of type '(retryContext: RetryContext) => { speed: any; output_config: BetaOutputConfig; context_management: ContextManagementConfig; temperature: number; metadata: { user_id: string; }; ... 7 more ...; tool_choice: BetaToolChoiceAuto | BetaToolChoiceTool; }' is not assignable to parameter of type '(context: RetryContext) => MessageCreateParamsBase'.
1	services/api/claude.ts :: TS2345 :: Argument of type '{ speed: any; output_config: BetaOutputConfig; context_management: ContextManagementConfig; temperature: number; metadata: { user_id: string; }; max_tokens: number; thinking: BetaThinkingConfigParam; ... 5 more ...; tool_choice: BetaToolChoiceAuto | BetaToolChoiceTool; }' is not assignable to parameter of type 'MessageCreateParamsBase'.
1	services/api/claude.ts :: TS2345 :: Argument of type 'CacheEditsBlock' is not assignable to parameter of type 'CachedMCEditsBlock'.
4	services/api/claude.ts :: TS2345 :: Argument of type 'MessageContentBlock' is not assignable to parameter of type 'BetaContentBlockParam'.
2	services/api/claude.ts :: TS2345 :: Argument of type 'NonNullableUsage' is not assignable to parameter of type 'BetaUsage'.
1	services/api/claude.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'BetaMessageDeltaUsage'.
2	services/api/claude.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'BetaUsage'.
1	services/api/claude.ts :: TS2365 :: Operator '+=' cannot be applied to types 'unknown' and 'unknown'.
1	services/api/claude.ts :: TS2769 :: No overload matches this call.
1	services/api/client.ts :: TS2322 :: Type '{ logger: Logger; skipAuth: true; awsRegion: string; fetch: Fetch; defaultHeaders: { [key: string]: string; }; maxRetries: number; timeout: number; dangerouslyAllowBrowser: boolean; fetchOptions: ClientOptions["fetchOptions"]; }' is not assignable to type 'Omit<ClientOptions, "authToken" | "apiKey"> & { apiKey?: string; awsSecretKey?: string; awsAccessKey?: string; awsRegion?: string; awsSessionToken?: string; skipAuth?: boolean; providerChainResolver?: () => Promise<...>; } & SecretOnly'.
1	services/api/client.ts :: TS2322 :: Type 'GoogleAuth<AuthClient>' is not assignable to type 'GoogleAuth<JSONClient>'.
1	services/api/client.ts :: TS2322 :: Type 'string' is not assignable to type 'never'.
37	services/api/errors.ts :: TS2322 :: Type 'string' is not assignable to type 'SDKAssistantMessageError'.
1	services/api/errors.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
2	services/api/errors.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'string'.
1	services/api/filesApi.ts :: TS2339 :: Property 'error' does not exist on type 'RetryResult<T>'.
1	services/api/logging.ts :: TS2322 :: Type 'NonNullableUsage' is not assignable to type 'BetaUsage'.
2	services/api/logging.ts :: TS2339 :: Property 'filter' does not exist on type 'string | MessageContentBlock[]'.
1	services/api/logging.ts :: TS2339 :: Property 'input' does not exist on type 'string | MessageContentBlock'.
1	services/api/logging.ts :: TS2339 :: Property 'name' does not exist on type 'string | MessageContentBlock'.
1	services/api/logging.ts :: TS2339 :: Property 'some' does not exist on type 'string | MessageContentBlock[]'.
1	services/api/logging.ts :: TS2339 :: Property 'text' does not exist on type 'string | MessageContentBlock'.
1	services/api/logging.ts :: TS2339 :: Property 'thinking' does not exist on type 'string | MessageContentBlock'.
5	services/api/logging.ts :: TS2339 :: Property 'type' does not exist on type 'string | MessageContentBlock'.
1	services/api/promptCacheBreakDetection.ts :: TS2550 :: Property 'findLast' does not exist on type 'Message[]'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2023' or later.
1	services/api/referral.ts :: TS2305 :: Module '"../oauth/types.js"' has no exported member 'ReferralCampaign'.
1	services/api/referral.ts :: TS2305 :: Module '"../oauth/types.js"' has no exported member 'ReferralEligibilityResponse'.
1	services/api/referral.ts :: TS2305 :: Module '"../oauth/types.js"' has no exported member 'ReferralRedemptionsResponse'.
1	services/api/referral.ts :: TS2305 :: Module '"../oauth/types.js"' has no exported member 'ReferrerRewardInfo'.
3	services/api/sessionIngress.ts :: TS2345 :: Argument of type 'string' is not assignable to parameter of type '`${string}-${string}-${string}-${string}-${string}`'.
1	services/api/sessionIngress.ts :: TS2550 :: Property 'findLast' does not exist on type 'Entry[]'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2023' or later.
1	services/autoDream/autoDream.ts :: TS2339 :: Property 'input' does not exist on type 'string | MessageContentBlock'.
2	services/autoDream/autoDream.ts :: TS2339 :: Property 'name' does not exist on type 'string | MessageContentBlock'.
1	services/autoDream/autoDream.ts :: TS2339 :: Property 'text' does not exist on type 'string | MessageContentBlock'.
2	services/autoDream/autoDream.ts :: TS2339 :: Property 'type' does not exist on type 'string | MessageContentBlock'.
1	services/compact/compact.ts :: TS2322 :: Type '"from"' is not assignable to type 'PartialCompactDirection'.
1	services/compact/compact.ts :: TS2322 :: Type 'void | AssistantMessage | StreamEvent | SystemAPIErrorMessage' is not assignable to type 'AssistantMessage'.
5	services/compact/compact.ts :: TS2339 :: Property 'event' does not exist on type 'void | AssistantMessage | StreamEvent | SystemAPIErrorMessage'.
2	services/compact/compact.ts :: TS2339 :: Property 'preCompactDiscoveredTools' does not exist on type 'unknown'.
2	services/compact/compact.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
3	services/compact/compact.ts :: TS2339 :: Property 'type' does not exist on type 'void | AssistantMessage | StreamEvent | SystemAPIErrorMessage'.
2	services/compact/compact.ts :: TS2345 :: Argument of type 'string' is not assignable to parameter of type '`${string}-${string}-${string}-${string}-${string}`'.
2	services/compact/compact.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'string'.
7	services/compact/compact.ts :: TS2367 :: This comparison appears to be unintentional because the types 'PartialCompactDirection' and '"up_to"' have no overlap.
1	services/compact/compact.ts :: TS2550 :: Property 'findLast' does not exist on type 'Message[]'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2023' or later.
1	services/compact/compact.ts :: TS2698 :: Spread types may only be created from object types.
1	services/compact/grouping.ts :: TS2322 :: Type 'unknown' is not assignable to type 'string'.
2	services/compact/microCompact.ts :: TS2345 :: Argument of type 'MessageContentBlock' is not assignable to parameter of type 'ToolResultBlockParam'.
9	services/compact/microCompact.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'string'.
2	services/compact/microCompact.ts :: TS2550 :: Property 'findLast' does not exist on type 'Message[]'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2023' or later.
1	services/compact/postCompactCleanup.ts :: TS2339 :: Property 'sweepFileContentCache' does not exist on type 'typeof import("/usr/local/develop/open-source/claude-code/utils/attributionHooks")'.
1	services/compact/prompt.ts :: TS2322 :: Type '"from"' is not assignable to type 'PartialCompactDirection'.
1	services/compact/prompt.ts :: TS2367 :: This comparison appears to be unintentional because the types 'PartialCompactDirection' and '"up_to"' have no overlap.
1	services/compact/sessionMemoryCompact.ts :: TS2339 :: Property 'preCompactDiscoveredTools' does not exist on type 'unknown'.
1	services/compact/sessionMemoryCompact.ts :: TS2339 :: Property 'some' does not exist on type 'string | MessageContentBlock[]'.
2	services/compact/sessionMemoryCompact.ts :: TS2345 :: Argument of type 'string' is not assignable to parameter of type '`${string}-${string}-${string}-${string}-${string}`'.
7	services/compact/sessionMemoryCompact.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'string'.
1	services/compact/sessionMemoryCompact.ts :: TS2550 :: Property 'findLastIndex' does not exist on type 'Message[]'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2023' or later.
3	services/lsp/LSPServerInstance.ts :: TS2339 :: Property 'startupTimeout' does not exist on type 'ScopedLspServerConfig'.
7	services/mcp/auth.ts :: TS2698 :: Spread types may only be created from object types.
2	services/mcp/client.ts :: TS2339 :: Property 'cache' does not exist on type '(_client: { name?: string; }) => Promise<Command[]>'.
1	services/mcp/client.ts :: TS2339 :: Property 'id' does not exist on type 'string | MessageContentBlock'.
4	services/mcp/client.ts :: TS2339 :: Property 'type' does not exist on type 'never'.
1	services/mcp/client.ts :: TS2339 :: Property 'type' does not exist on type 'string | MessageContentBlock'.
4	services/mcp/client.ts :: TS2353 :: Object literal may only specify known properties, and 'type' does not exist in type 'MCPProgress'.
1	services/mcp/client.ts :: TS2739 :: Type '{}' is missing the following properties from type '{ connect(t: Transport): Promise<void>; close(): Promise<void>; }': connect, close
3	services/mcp/config.ts :: TS2339 :: Property 'command' does not exist on type '{ command: string; args: string[]; type?: "stdio"; env?: Record<string, string>; } | { type: "sse"; url: string; headers?: Record<string, string>; headersHelper?: string; oauth?: { ...; }; } | ... 5 more ... | { ...; }'.
1	services/mcp/config.ts :: TS2345 :: Argument of type 'Record<string, unknown>' is not assignable to parameter of type 'Record<string, ScopedMcpServerConfig>'.
1	services/mcp/useManageMCPConnections.ts :: TS2339 :: Property 'cache' does not exist on type '(_client: { name?: string; }) => Promise<Command[]>'.
1	services/mcp/utils.ts :: TS2305 :: Module '"../../components/mcp/types.js"' has no exported member 'AgentMcpServerInfo'.
2	services/mcp/xaaIdpLogin.ts :: TS2698 :: Spread types may only be created from object types.
1	services/oauth/client.ts :: TS2305 :: Module '"./types.js"' has no exported member 'BillingType'.
1	services/oauth/client.ts :: TS2305 :: Module '"./types.js"' has no exported member 'UserRolesResponse'.
1	services/oauth/client.ts :: TS2339 :: Property 'organization_type' does not exist on type '{ uuid: string; has_extra_usage_enabled?: boolean; billing_type?: string; subscription_created_at?: string; }'.
1	services/oauth/client.ts :: TS2339 :: Property 'rate_limit_tier' does not exist on type '{ uuid: string; has_extra_usage_enabled?: boolean; billing_type?: string; subscription_created_at?: string; }'.
1	services/plugins/pluginOperations.ts :: TS2339 :: Property 'blockedDependency' does not exist on type 'InstallCoreResult'.
1	services/plugins/pluginOperations.ts :: TS2339 :: Property 'depNote' does not exist on type 'InstallCoreResult'.
1	services/plugins/pluginOperations.ts :: TS2339 :: Property 'message' does not exist on type 'InstallCoreResult'.
3	services/plugins/pluginOperations.ts :: TS2339 :: Property 'pluginName' does not exist on type 'InstallCoreResult'.
1	services/plugins/pluginOperations.ts :: TS2339 :: Property 'reason' does not exist on type 'InstallCoreResult'.
1	services/plugins/pluginOperations.ts :: TS2339 :: Property 'resolution' does not exist on type 'InstallCoreResult'.
2	services/PromptSuggestion/promptSuggestion.ts :: TS2322 :: Type 'unknown' is not assignable to type 'string'.
1	services/PromptSuggestion/promptSuggestion.ts :: TS2339 :: Property 'cache_creation_input_tokens' does not exist on type 'unknown'.
1	services/PromptSuggestion/promptSuggestion.ts :: TS2339 :: Property 'find' does not exist on type 'string | MessageContentBlock[]'.
1	services/PromptSuggestion/promptSuggestion.ts :: TS2339 :: Property 'input_tokens' does not exist on type 'unknown'.
1	services/PromptSuggestion/promptSuggestion.ts :: TS2339 :: Property 'output_tokens' does not exist on type 'unknown'.
1	services/PromptSuggestion/speculation.ts :: TS2550 :: Property 'findLastIndex' does not exist on type 'Message[]'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2023' or later.
8	services/tips/tipRegistry.ts :: TS2322 :: Type '(ctx: any) => Promise<string>' is not assignable to type '() => string | Promise<string>'.
1	services/tips/tipRegistry.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'FileStateCache'.
1	services/tokenEstimation.ts :: TS2345 :: Argument of type 'string | MessageContentBlock[]' is not assignable to parameter of type 'string | ContentBlockParam[] | ContentBlock[]'.
4	services/tools/StreamingToolExecutor.ts :: TS2322 :: Type 'string' is not assignable to type '`${string}-${string}-${string}-${string}-${string}`'.
2	services/tools/toolExecution.ts :: TS2315 :: Type 'ProgressMessage' is not generic.
9	services/tools/toolExecution.ts :: TS2322 :: Type 'string' is not assignable to type '`${string}-${string}-${string}-${string}-${string}`'.
2	services/tools/toolExecution.ts :: TS2345 :: Argument of type '"suggestion"' is not assignable to parameter of type 'SystemMessageLevel'.
3	services/tools/toolExecution.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'string'.
1	services/tools/toolExecution.ts :: TS2488 :: Type 'unknown' must have a '[Symbol.iterator]()' method that returns an iterator.
3	services/tools/toolHooks.ts :: TS2315 :: Type 'ProgressMessage' is not generic.
4	services/tools/toolHooks.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
4	services/tools/toolHooks.ts :: TS2367 :: This comparison appears to be unintentional because the types '"hook_result"' and '"attachment"' have no overlap.
2	services/tools/toolOrchestration.ts :: TS2339 :: Property 'some' does not exist on type 'string | MessageContentBlock[]'.
1	services/toolUseSummary/toolUseSummaryGenerator.ts :: TS2339 :: Property 'filter' does not exist on type 'string | MessageContentBlock[]'.
1	services/vcr.ts :: TS2322 :: Type 'BetaContentBlock[]' is not assignable to type 'string | MessageContentBlock[]'.
1	services/vcr.ts :: TS2339 :: Property 'map' does not exist on type 'string | MessageContentBlock[]'.
1	services/vcr.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'BetaUsage'.
1	services/vcr.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'string'.
1	setup.ts :: TS2339 :: Property 'registerAttributionHooks' does not exist on type 'typeof import("/usr/local/develop/open-source/claude-code/utils/attributionHooks")'.
